# Log header
#-------------------------------------
# Application: Sleep
# Log description: 
# Device: XeThru X2M200, USB, \\.\COM4
# FW Version: 1.1.0-BETA
# SW Version: 2.3.1
# Time: 21-06-2017 13:43
#
# Module settings
#-------------------------------------
# Detection zone: 0.4 to 2
# Sensitivity: 9
#-------------------------------------
TimeStamp;State;RPM;ObjectDistance;ObjectMovement;SignalQuality
2017-06-21T13:43:12.839+05:30;1;0;0;0;0
2017-06-21T13:43:12.840+05:30;1;0;0;0;0
2017-06-21T13:43:12.841+05:30;1;0;0;0;0
2017-06-21T13:43:12.841+05:30;1;0;0;0;0
2017-06-21T13:43:12.890+05:30;1;0;0;0;0
2017-06-21T13:43:12.944+05:30;1;0;0;0;0
2017-06-21T13:43:12.988+05:30;1;0;0;0;0
2017-06-21T13:43:13.040+05:30;1;0;0;0;0
2017-06-21T13:43:13.089+05:30;1;0;0;0;0
2017-06-21T13:43:13.141+05:30;1;0;0;0;0
2017-06-21T13:43:13.377+05:30;2;0;0;0;0
2017-06-21T13:43:13.380+05:30;2;0;0;0;0
2017-06-21T13:43:13.411+05:30;2;0;0;0;0
2017-06-21T13:43:13.411+05:30;2;0;0;0;0
2017-06-21T13:43:13.411+05:30;2;0;0;0;0
2017-06-21T13:43:13.444+05:30;2;0;0;0;0
2017-06-21T13:43:13.489+05:30;2;0;0;0;0
2017-06-21T13:43:13.539+05:30;2;0;0;0;0
2017-06-21T13:43:13.589+05:30;2;0;0;0;0
2017-06-21T13:43:13.639+05:30;2;0;0;0;0
2017-06-21T13:43:13.813+05:30;2;0;0;0;0
2017-06-21T13:43:13.813+05:30;2;0;0;0;0
2017-06-21T13:43:13.813+05:30;2;0;0;0;0
2017-06-21T13:43:13.839+05:30;2;0;0;0;0
2017-06-21T13:43:13.890+05:30;2;0;0;0;0
2017-06-21T13:43:13.944+05:30;2;0;0;0;0
2017-06-21T13:43:13.989+05:30;2;0;0;0;0
2017-06-21T13:43:14.039+05:30;2;0;0;0;0
2017-06-21T13:43:14.089+05:30;2;0;0;0;0
2017-06-21T13:43:14.139+05:30;2;0;0;0;0
2017-06-21T13:43:14.380+05:30;2;0;0;0;0
2017-06-21T13:43:14.387+05:30;2;0;0;0;0
2017-06-21T13:43:14.390+05:30;2;0;0;0;0
2017-06-21T13:43:14.393+05:30;2;0;0;0;0
2017-06-21T13:43:14.395+05:30;2;0;0;0;0
2017-06-21T13:43:14.445+05:30;2;0;0;0;0
2017-06-21T13:43:14.489+05:30;2;0;0;0;0
2017-06-21T13:43:14.539+05:30;2;0;0;0;0
2017-06-21T13:43:14.589+05:30;2;0;0;0;0
2017-06-21T13:43:14.639+05:30;2;0;0;0;0
2017-06-21T13:43:14.739+05:30;2;0;0;0;0
2017-06-21T13:43:14.742+05:30;2;0;0;0;0
2017-06-21T13:43:14.790+05:30;2;0;0;0;0
2017-06-21T13:43:14.839+05:30;2;0;0;0;0
2017-06-21T13:43:14.889+05:30;2;0;0;0;0
2017-06-21T13:43:14.945+05:30;2;0;0;0;0
2017-06-21T13:43:14.989+05:30;2;0;0;0;0
2017-06-21T13:43:15.039+05:30;2;0;0;0;0
2017-06-21T13:43:15.089+05:30;2;0;0;0;0
2017-06-21T13:43:15.139+05:30;2;0;0;0;0
2017-06-21T13:43:15.387+05:30;0;30;0.522974;-12.9675;10
2017-06-21T13:43:15.389+05:30;0;30;0.522974;-15.3442;10
2017-06-21T13:43:15.392+05:30;0;30;0.522974;-16.7339;10
2017-06-21T13:43:15.395+05:30;0;30;0.522974;-16.4495;10
2017-06-21T13:43:15.398+05:30;0;30;0.522974;-15.655;10
2017-06-21T13:43:15.445+05:30;0;30;0.522974;-15.8391;10
2017-06-21T13:43:15.489+05:30;0;30;0.522974;-17.3653;10
2017-06-21T13:43:15.540+05:30;0;30;0.522974;-18.3105;10
2017-06-21T13:43:15.589+05:30;0;30;0.522974;-18.0036;10
2017-06-21T13:43:15.639+05:30;0;30;0.522974;-17.3043;10
2017-06-21T13:43:15.739+05:30;0;30;0.522974;-16.5628;10
2017-06-21T13:43:15.742+05:30;0;30;0.522974;-15.8977;10
2017-06-21T13:43:15.789+05:30;0;30;0.522974;-15.4395;10
2017-06-21T13:43:15.839+05:30;0;30;0.522974;-15.1961;10
2017-06-21T13:43:15.890+05:30;0;30;0.522974;-15.0699;10
2017-06-21T13:43:15.945+05:30;0;30;0.522974;-14.9352;10
2017-06-21T13:43:15.989+05:30;0;30;0.522974;-14.7353;10
2017-06-21T13:43:16.039+05:30;0;30;0.522974;-14.5643;10
2017-06-21T13:43:16.089+05:30;0;30;0.522974;-14.4345;10
2017-06-21T13:43:16.140+05:30;0;30;0.522974;-14.2707;10
2017-06-21T13:43:16.387+05:30;0;9;0.502703;-14.0034;10
2017-06-21T13:43:16.390+05:30;0;9;0.502703;-13.6477;10
2017-06-21T13:43:16.392+05:30;0;9;0.502703;-13.354;10
2017-06-21T13:43:16.395+05:30;0;9;0.502703;-13.1772;10
2017-06-21T13:43:16.398+05:30;0;9;0.502703;-13.0553;10
2017-06-21T13:43:16.445+05:30;0;9;0.502703;-13.5541;10
2017-06-21T13:43:16.489+05:30;0;9;0.502703;-14.7351;10
2017-06-21T13:43:16.539+05:30;0;9;0.502703;-15.202;10
2017-06-21T13:43:16.589+05:30;0;9;0.502703;-14.553;10
2017-06-21T13:43:16.640+05:30;0;9;0.502703;-13.5204;10
2017-06-21T13:43:16.739+05:30;0;9;0.502703;-12.4601;10
2017-06-21T13:43:16.742+05:30;0;9;0.502703;-11.5286;10
2017-06-21T13:43:16.789+05:30;0;9;0.502703;-10.851;10
2017-06-21T13:43:16.839+05:30;0;9;0.502703;-10.4309;10
2017-06-21T13:43:16.889+05:30;0;9;0.502703;-10.1796;10
2017-06-21T13:43:16.945+05:30;0;9;0.502703;-10.5441;10
2017-06-21T13:43:16.989+05:30;0;9;0.502703;-11.5529;10
2017-06-21T13:43:17.039+05:30;0;9;0.502703;-12.0266;10
2017-06-21T13:43:17.089+05:30;0;9;0.502703;-11.6348;10
2017-06-21T13:43:17.139+05:30;0;9;0.502703;-10.9992;10
2017-06-21T13:43:17.379+05:30;0;9;0.502703;-9.9522;10
2017-06-21T13:43:17.387+05:30;0;9;0.502703;-8.54689;10
2017-06-21T13:43:17.390+05:30;0;9;0.502703;-7.89435;10
2017-06-21T13:43:17.393+05:30;0;9;0.502703;-8.15783;10
2017-06-21T13:43:17.396+05:30;0;9;0.502703;-8.46924;10
2017-06-21T13:43:17.445+05:30;0;9;0.502703;-7.96347;10
2017-06-21T13:43:17.489+05:30;0;9;0.502703;-6.60997;10
2017-06-21T13:43:17.539+05:30;0;9;0.502703;-5.54675;10
2017-06-21T13:43:17.589+05:30;0;9;0.502703;-5.19664;10
2017-06-21T13:43:17.639+05:30;0;9;0.502703;-5.139;10
2017-06-21T13:43:17.740+05:30;0;9;0.502703;-4.80275;10
2017-06-21T13:43:17.743+05:30;0;9;0.502703;-4.03416;10
2017-06-21T13:43:17.789+05:30;0;9;0.502703;-3.53145;10
2017-06-21T13:43:17.839+05:30;0;9;0.502703;-3.52496;10
2017-06-21T13:43:17.889+05:30;0;9;0.502703;-3.68584;10
2017-06-21T13:43:17.945+05:30;0;9;0.502703;-3.96252;10
2017-06-21T13:43:17.989+05:30;0;9;0.502703;-4.3144;10
2017-06-21T13:43:18.039+05:30;0;9;0.502703;-4.50329;10
2017-06-21T13:43:18.089+05:30;0;9;0.502703;-4.46933;10
2017-06-21T13:43:18.139+05:30;0;9;0.502703;-4.34554;10
2017-06-21T13:43:18.416+05:30;0;9;0.502703;-4.2274;10
2017-06-21T13:43:18.419+05:30;0;9;0.502703;-4.16275;10
2017-06-21T13:43:18.422+05:30;0;9;0.502703;-4.12409;10
2017-06-21T13:43:18.425+05:30;0;9;0.502703;-4.05911;10
2017-06-21T13:43:18.428+05:30;0;9;0.502703;-3.94296;10
2017-06-21T13:43:18.445+05:30;0;9;0.502703;-3.77537;10
2017-06-21T13:43:18.489+05:30;0;9;0.502703;-3.56849;10
2017-06-21T13:43:18.540+05:30;0;9;0.502703;-3.33706;10
2017-06-21T13:43:18.589+05:30;0;9;0.502703;-3.10014;10
2017-06-21T13:43:18.640+05:30;0;9;0.502703;-2.88127;10
2017-06-21T13:43:18.740+05:30;0;9;0.502703;-2.69915;10
2017-06-21T13:43:18.743+05:30;0;9;0.502703;-2.55196;10
2017-06-21T13:43:18.789+05:30;0;9;0.502703;-2.41038;10
2017-06-21T13:43:18.839+05:30;0;9;0.502703;-2.23616;10
2017-06-21T13:43:18.889+05:30;0;9;0.502703;-2.01009;10
2017-06-21T13:43:18.945+05:30;0;9;0.502703;-1.72318;10
2017-06-21T13:43:18.989+05:30;0;9;0.502703;-1.40482;10
2017-06-21T13:43:19.039+05:30;0;9;0.502703;-1.15862;10
2017-06-21T13:43:19.089+05:30;0;9;0.502703;-1.04353;10
2017-06-21T13:43:19.139+05:30;0;9;0.502703;-0.986071;10
2017-06-21T13:43:19.417+05:30;0;9;0.502703;-0.896754;10
2017-06-21T13:43:19.419+05:30;0;9;0.502703;-0.785342;10
2017-06-21T13:43:19.422+05:30;0;9;0.502703;-0.715559;10
2017-06-21T13:43:19.425+05:30;0;9;0.502703;-0.720897;10
2017-06-21T13:43:19.427+05:30;0;9;0.502703;-0.769424;10
2017-06-21T13:43:19.445+05:30;0;9;0.502703;-0.832102;10
2017-06-21T13:43:19.489+05:30;0;9;0.502703;-0.961274;10
2017-06-21T13:43:19.539+05:30;0;9;0.502703;-1.18161;10
2017-06-21T13:43:19.589+05:30;0;9;0.502703;-1.41971;10
2017-06-21T13:43:19.639+05:30;0;9;0.502703;-1.57721;10
2017-06-21T13:43:19.741+05:30;0;9;0.502703;-1.52295;10
2017-06-21T13:43:19.743+05:30;0;9;0.502703;-1.18054;10
2017-06-21T13:43:19.789+05:30;0;9;0.502703;-0.671338;10
2017-06-21T13:43:19.839+05:30;0;9;0.502703;-0.168576;10
2017-06-21T13:43:19.889+05:30;0;9;0.502703;0.262182;10
2017-06-21T13:43:19.945+05:30;0;9;0.502703;0.58194;10
2017-06-21T13:43:19.989+05:30;0;9;0.502703;0.770653;10
2017-06-21T13:43:20.040+05:30;0;9;0.502703;0.857285;10
2017-06-21T13:43:20.089+05:30;0;9;0.502703;0.838874;10
2017-06-21T13:43:20.139+05:30;0;9;0.502703;0.754064;10
2017-06-21T13:43:20.416+05:30;0;9;0.502703;1.31148;10
2017-06-21T13:43:20.419+05:30;0;9;0.502703;3.26455;10
2017-06-21T13:43:20.422+05:30;0;9;0.502703;6.04491;10
2017-06-21T13:43:20.425+05:30;0;9;0.502703;8.84809;10
2017-06-21T13:43:20.428+05:30;0;9;0.502703;11.4482;10
2017-06-21T13:43:20.446+05:30;0;9;0.502703;12.6442;10
2017-06-21T13:43:20.489+05:30;0;9;0.502703;11.2306;10
2017-06-21T13:43:20.539+05:30;0;9;0.502703;8.3306;10
2017-06-21T13:43:20.589+05:30;0;9;0.502703;5.56014;10
2017-06-21T13:43:20.639+05:30;0;9;0.502703;3.41078;10
2017-06-21T13:43:20.740+05:30;0;9;0.502703;1.91221;10
2017-06-21T13:43:20.743+05:30;0;9;0.502703;0.945621;10
2017-06-21T13:43:20.789+05:30;0;9;0.502703;0.441207;10
2017-06-21T13:43:20.839+05:30;0;9;0.502703;0.309703;10
2017-06-21T13:43:20.889+05:30;0;9;0.502703;0.42286;10
2017-06-21T13:43:20.945+05:30;0;9;0.502703;0.616923;10
2017-06-21T13:43:20.989+05:30;0;9;0.502703;0.705552;10
2017-06-21T13:43:21.039+05:30;0;9;0.502703;0.587396;10
2017-06-21T13:43:21.089+05:30;0;9;0.502703;0.247124;10
2017-06-21T13:43:21.139+05:30;0;9;0.502703;-0.204084;10
2017-06-21T13:43:21.414+05:30;1;0;0;0;0
2017-06-21T13:43:21.417+05:30;1;0;0;0;0
2017-06-21T13:43:21.420+05:30;1;0;0;0;0
2017-06-21T13:43:21.423+05:30;1;0;0;0;0
2017-06-21T13:43:21.427+05:30;1;0;0;0;0
2017-06-21T13:43:21.446+05:30;1;0;0;0;0
2017-06-21T13:43:21.489+05:30;1;0;0;0;0
2017-06-21T13:43:21.539+05:30;1;0;0;0;0
2017-06-21T13:43:21.589+05:30;1;0;0;0;0
2017-06-21T13:43:21.639+05:30;1;0;0;0;0
2017-06-21T13:43:21.740+05:30;1;0;0;0;0
2017-06-21T13:43:21.743+05:30;1;0;0;0;0
2017-06-21T13:43:21.789+05:30;1;0;0;0;0
2017-06-21T13:43:21.839+05:30;1;0;0;0;0
2017-06-21T13:43:21.889+05:30;1;0;0;0;0
2017-06-21T13:43:21.946+05:30;1;0;0;0;0
2017-06-21T13:43:21.989+05:30;1;0;0;0;0
2017-06-21T13:43:22.039+05:30;1;0;0;0;0
2017-06-21T13:43:22.089+05:30;1;0;0;0;0
2017-06-21T13:43:22.139+05:30;1;0;0;0;0
2017-06-21T13:43:22.377+05:30;1;0;0;0;0
2017-06-21T13:43:22.380+05:30;1;0;0;0;0
2017-06-21T13:43:22.388+05:30;1;0;0;0;0
2017-06-21T13:43:22.391+05:30;1;0;0;0;0
2017-06-21T13:43:22.393+05:30;1;0;0;0;0
2017-06-21T13:43:22.446+05:30;1;0;0;0;0
2017-06-21T13:43:22.489+05:30;1;0;0;0;0
2017-06-21T13:43:22.539+05:30;1;0;0;0;0
2017-06-21T13:43:22.589+05:30;1;0;0;0;0
2017-06-21T13:43:22.639+05:30;1;0;0;0;0
2017-06-21T13:43:22.740+05:30;1;0;0;0;0
2017-06-21T13:43:22.743+05:30;1;0;0;0;0
2017-06-21T13:43:22.789+05:30;1;0;0;0;0
2017-06-21T13:43:22.839+05:30;1;0;0;0;0
2017-06-21T13:43:22.889+05:30;1;0;0;0;0
2017-06-21T13:43:22.945+05:30;1;0;0;0;0
2017-06-21T13:43:22.990+05:30;1;0;0;0;0
2017-06-21T13:43:23.039+05:30;1;0;0;0;0
2017-06-21T13:43:23.089+05:30;1;0;0;0;0
2017-06-21T13:43:23.139+05:30;1;0;0;0;0
2017-06-21T13:43:23.378+05:30;2;0;0;0;0
2017-06-21T13:43:23.379+05:30;2;0;0;0;0
2017-06-21T13:43:23.387+05:30;2;0;0;0;0
2017-06-21T13:43:23.390+05:30;2;0;0;0;0
2017-06-21T13:43:23.394+05:30;2;0;0;0;0
2017-06-21T13:43:23.445+05:30;2;0;0;0;0
2017-06-21T13:43:23.490+05:30;2;0;0;0;0
2017-06-21T13:43:23.539+05:30;2;0;0;0;0
2017-06-21T13:43:23.589+05:30;2;0;0;0;0
2017-06-21T13:43:23.639+05:30;2;0;0;0;0
2017-06-21T13:43:23.740+05:30;2;0;0;0;0
2017-06-21T13:43:23.742+05:30;2;0;0;0;0
2017-06-21T13:43:23.790+05:30;2;0;0;0;0
2017-06-21T13:43:23.839+05:30;2;0;0;0;0
2017-06-21T13:43:23.889+05:30;2;0;0;0;0
2017-06-21T13:43:23.946+05:30;2;0;0;0;0
2017-06-21T13:43:23.989+05:30;2;0;0;0;0
2017-06-21T13:43:24.039+05:30;2;0;0;0;0
2017-06-21T13:43:24.089+05:30;2;0;0;0;0
2017-06-21T13:43:24.139+05:30;2;0;0;0;0
2017-06-21T13:43:24.378+05:30;2;0;0;0;0
2017-06-21T13:43:24.380+05:30;2;0;0;0;0
2017-06-21T13:43:24.387+05:30;2;0;0;0;0
2017-06-21T13:43:24.391+05:30;2;0;0;0;0
2017-06-21T13:43:24.393+05:30;2;0;0;0;0
2017-06-21T13:43:24.445+05:30;2;0;0;0;0
2017-06-21T13:43:24.489+05:30;2;0;0;0;0
2017-06-21T13:43:24.539+05:30;2;0;0;0;0
2017-06-21T13:43:24.589+05:30;2;0;0;0;0
2017-06-21T13:43:24.639+05:30;2;0;0;0;0
2017-06-21T13:43:24.740+05:30;2;0;0;0;0
2017-06-21T13:43:24.742+05:30;2;0;0;0;0
2017-06-21T13:43:24.789+05:30;2;0;0;0;0
2017-06-21T13:43:24.839+05:30;2;0;0;0;0
2017-06-21T13:43:24.889+05:30;2;0;0;0;0
2017-06-21T13:43:24.945+05:30;2;0;0;0;0
2017-06-21T13:43:24.989+05:30;2;0;0;0;0
2017-06-21T13:43:25.039+05:30;2;0;0;0;0
2017-06-21T13:43:25.089+05:30;2;0;0;0;0
2017-06-21T13:43:25.139+05:30;2;0;0;0;0
2017-06-21T13:43:25.379+05:30;2;0;0;0;0
2017-06-21T13:43:25.380+05:30;2;0;0;0;0
2017-06-21T13:43:25.388+05:30;2;0;0;0;0
2017-06-21T13:43:25.390+05:30;2;0;0;0;0
2017-06-21T13:43:25.394+05:30;2;0;0;0;0
2017-06-21T13:43:25.445+05:30;2;0;0;0;0
2017-06-21T13:43:25.489+05:30;2;0;0;0;0
2017-06-21T13:43:25.539+05:30;2;0;0;0;0
2017-06-21T13:43:25.589+05:30;2;0;0;0;0
2017-06-21T13:43:25.639+05:30;2;0;0;0;0
2017-06-21T13:43:25.739+05:30;2;0;0;0;0
2017-06-21T13:43:25.743+05:30;2;0;0;0;0
2017-06-21T13:43:25.789+05:30;2;0;0;0;0
2017-06-21T13:43:25.839+05:30;2;0;0;0;0
2017-06-21T13:43:25.889+05:30;2;0;0;0;0
2017-06-21T13:43:25.945+05:30;2;0;0;0;0
2017-06-21T13:43:25.989+05:30;2;0;0;0;0
2017-06-21T13:43:26.039+05:30;2;0;0;0;0
2017-06-21T13:43:26.089+05:30;2;0;0;0;0
2017-06-21T13:43:26.139+05:30;2;0;0;0;0
2017-06-21T13:43:26.379+05:30;1;0;0;0;0
2017-06-21T13:43:26.380+05:30;1;0;0;0;0
2017-06-21T13:43:26.388+05:30;1;0;0;0;0
2017-06-21T13:43:26.390+05:30;1;0;0;0;0
2017-06-21T13:43:26.393+05:30;1;0;0;0;0
2017-06-21T13:43:26.445+05:30;1;0;0;0;0
2017-06-21T13:43:26.489+05:30;1;0;0;0;0
2017-06-21T13:43:26.539+05:30;1;0;0;0;0
2017-06-21T13:43:26.589+05:30;1;0;0;0;0
2017-06-21T13:43:26.639+05:30;1;0;0;0;0
2017-06-21T13:43:26.739+05:30;1;0;0;0;0
2017-06-21T13:43:26.742+05:30;1;0;0;0;0
2017-06-21T13:43:26.789+05:30;1;0;0;0;0
2017-06-21T13:43:26.839+05:30;1;0;0;0;0
2017-06-21T13:43:26.889+05:30;1;0;0;0;0
2017-06-21T13:43:26.945+05:30;1;0;0;0;0
2017-06-21T13:43:26.989+05:30;1;0;0;0;0
2017-06-21T13:43:27.040+05:30;1;0;0;0;0
2017-06-21T13:43:27.089+05:30;1;0;0;0;0
2017-06-21T13:43:27.139+05:30;1;0;0;0;0
2017-06-21T13:43:27.379+05:30;1;0;0;0;0
2017-06-21T13:43:27.387+05:30;1;0;0;0;0
2017-06-21T13:43:27.389+05:30;1;0;0;0;0
2017-06-21T13:43:27.392+05:30;1;0;0;0;0
2017-06-21T13:43:27.395+05:30;1;0;0;0;0
2017-06-21T13:43:27.445+05:30;1;0;0;0;0
2017-06-21T13:43:27.490+05:30;1;0;0;0;0
2017-06-21T13:43:27.539+05:30;1;0;0;0;0
2017-06-21T13:43:27.589+05:30;1;0;0;0;0
2017-06-21T13:43:27.639+05:30;1;0;0;0;0
2017-06-21T13:43:27.741+05:30;1;0;0;0;0
2017-06-21T13:43:27.743+05:30;1;0;0;0;0
2017-06-21T13:43:27.789+05:30;1;0;0;0;0
2017-06-21T13:43:27.839+05:30;1;0;0;0;0
2017-06-21T13:43:27.889+05:30;1;0;0;0;0
2017-06-21T13:43:27.945+05:30;1;0;0;0;0
2017-06-21T13:43:27.989+05:30;1;0;0;0;0
2017-06-21T13:43:28.040+05:30;1;0;0;0;0
2017-06-21T13:43:28.090+05:30;1;0;0;0;0
2017-06-21T13:43:28.140+05:30;1;0;0;0;0
2017-06-21T13:43:28.379+05:30;0;10;0.968921;-1.56775;10
2017-06-21T13:43:28.387+05:30;0;10;0.968921;-1.58497;10
2017-06-21T13:43:28.390+05:30;0;10;0.968921;-1.70655;10
2017-06-21T13:43:28.392+05:30;0;10;0.968921;-1.90411;10
2017-06-21T13:43:28.395+05:30;0;10;0.968921;-2.07075;10
2017-06-21T13:43:28.445+05:30;0;10;0.968921;-2.0711;10
2017-06-21T13:43:28.490+05:30;0;10;0.968921;-1.85656;10
2017-06-21T13:43:28.540+05:30;0;10;0.968921;-1.61709;10
2017-06-21T13:43:28.590+05:30;0;10;0.968921;-1.47566;10
2017-06-21T13:43:28.640+05:30;0;10;0.968921;-1.3992;10
2017-06-21T13:43:28.741+05:30;0;10;0.968921;-1.29026;10
2017-06-21T13:43:28.743+05:30;0;10;0.968921;-1.07663;10
2017-06-21T13:43:28.790+05:30;0;10;0.968921;-0.848687;10
2017-06-21T13:43:28.839+05:30;0;10;0.968921;-0.691615;10
2017-06-21T13:43:28.890+05:30;0;10;0.968921;-0.598713;10
2017-06-21T13:43:28.945+05:30;0;10;0.968921;-0.496029;10
2017-06-21T13:43:28.989+05:30;0;10;0.968921;-0.288055;10
2017-06-21T13:43:29.040+05:30;0;10;0.968921;-0.00818726;10
2017-06-21T13:43:29.089+05:30;0;10;0.968921;0.23544;10
2017-06-21T13:43:29.140+05:30;0;10;0.968921;0.391402;10
2017-06-21T13:43:29.378+05:30;0;9;0.989191;0.451372;10
2017-06-21T13:43:29.380+05:30;0;9;0.989191;0.440835;10
2017-06-21T13:43:29.389+05:30;0;9;0.989191;0.415517;10
2017-06-21T13:43:29.390+05:30;0;9;0.989191;0.400466;10
2017-06-21T13:43:29.393+05:30;0;9;0.989191;0.389449;10
2017-06-21T13:43:29.445+05:30;0;9;0.989191;0.368774;10
2017-06-21T13:43:29.490+05:30;0;9;0.989191;0.338044;10
2017-06-21T13:43:29.539+05:30;0;9;0.989191;0.323196;10
2017-06-21T13:43:29.590+05:30;0;9;0.989191;0.3291;10
2017-06-21T13:43:29.639+05:30;0;9;0.989191;0.33993;10
2017-06-21T13:43:29.740+05:30;0;9;0.989191;0.472957;10
2017-06-21T13:43:29.743+05:30;0;9;0.989191;0.920525;10
2017-06-21T13:43:29.789+05:30;0;9;0.989191;1.6017;10
2017-06-21T13:43:29.839+05:30;0;9;0.989191;2.23777;10
2017-06-21T13:43:29.889+05:30;0;9;0.989191;2.66918;10
2017-06-21T13:43:29.945+05:30;0;9;0.989191;2.85802;10
2017-06-21T13:43:29.990+05:30;0;9;0.989191;3.00078;10
2017-06-21T13:43:30.039+05:30;0;9;0.989191;3.56215;10
